DATE,RBUSBIS
2018-02-01,108.84
2018-03-01,109.44
2018-04-01,109.73
2018-05-01,113.11
2018-06-01,115.02
2018-07-01,115.36
2018-08-01,115.91
2018-09-01,115.91
2018-10-01,116.54
2018-11-01,117.58
2018-12-01,117.02
2019-01-01,115.63
2019-02-01,115.27
2019-03-01,115.97
2019-04-01,116.38
2019-05-01,117.69
2019-06-01,117.26
2019-07-01,116.8
2019-08-01,118.71
2019-09-01,118.86
2019-10-01,118.05
2019-11-01,117.47
